No,Source Page Title,Source URL,Target URL,Domain Authority,Page Authority,Spam Score,Anchor Text,First Seen,Last Seen
1,"Ultra Flex Gym North Leeds: First look inside new gym set to open in Seacroft","https://www.yorkshireeveningpost.co.uk/business/ultra-flex-gym-north-leeds-first-look-inside-new-gym-set-to-open-in-seacroft-4085382","https://ultraflexgym.co.uk/locations/north-leeds/",78,34,3,"new site","2023-04-05","2026-01-13"
2,"Ultra Flex  - Rotherham: Read Reviews and Book Classes on ClassPass","https://classpass.com/studios/ultra-flex--rotherham","https://ultraflexgym.co.uk/locations/gym-in-rotherham/",78,33,5,"ultraflexgym.co.uk","2024-07-19","2026-01-15"
3,"Health Clubs Near Me in York | Yell Marketplace","https://www.yell.com/s/health+clubs-york.html","https://ultraflexgym.co.uk/locations/gym-in-york/",72,40,3,"","2022-03-27","2026-01-08"
4,"The top 5 best work-out machinery to use at a gym to burn off the most calories | GodisaGeek.com","https://www.godisageek.com/2021/10/the-top-5-best-work-out-machinery-to-use-at-a-gym-to-burn-off-the-most-calories/","https://ultraflexgym.co.uk/locations/gym-in-leeds/",67,34,2,"best gym in leeds","2021-11-02","2025-11-29"
5,"Ultra Flex Gym York Coupons - 50% off - Dec 2025","https://www.wethrift.com/ultra-flex-gym-york","https://www.ultraflexgym.co.uk/",67,33,5,"ultra flex gym york","2022-01-13","2025-12-29"
6,"","https://www.tpsearchtool.com/images/ultraflex-gym-virtual-tour-3d-scan-scene3d","https://ultraflexgym.co.uk/wp-content/uploads/2020/11/UF-Leeds-1024x632-1.jpg",65,24,2,"gym in leeds watch virtual tour ultra flex gym in leeds","2025-01-19","2025-01-19"
7,"How to achieve your fitness goals at a gym - News Anyway","https://www.newsanyway.com/2021/03/01/how-to-achieve-your-fitness-goals-at-a-gym/","https://ultraflexgym.co.uk/locations/gym-in-york/",63,30,3,"gym in york","2021-08-01","2026-01-01"
8,"UltraFlex Gym North Leeds - Limewood Approach, Seacroft, Leeds LS14 1NH, United Kingdom | Fresha","https://www.fresha.com/lvp/ultraflex-gym-north-leeds-limewood-approach-G5nrkE","https://www.ultraflexgym.co.uk/",62,36,1,"website","2023-10-24","2025-12-10"
9,"","https://readesh.com/how-to-achieve-your-fitness-goals-at-a-gym/","https://ultraflexgym.co.uk/locations/gym-in-york/",61,27,1,"gym york","2021-11-08","2023-05-24"
10,"","https://timebusinessnews.com/how-well-do-you-know-your-gym-cleanliness-hygiene/","https://ultraflexgym.co.uk/locations/gym-in-leeds/",60,33,1,"gym in leeds","2021-10-24","2024-10-21"
11,"","https://livingfeeds.com/deals/rc/322788","https://www.ultraflexgym.co.uk/",60,25,1,"","2023-06-24","2023-06-24"
12,"Ultra Flex Leeds - Farsley","https://wellhub.com/en-uk/search/partners/ultra-flex-leeds/","https://www.ultraflexgym.co.uk/",59,26,11,"https://ultraflexgym.co.uk","2025-10-27","2026-01-30"
13,"
	Μπήκαμε στο νέο UltraFlex στο Περιστέρι και ακόμα κάνουμε πόδια στο Pendulum | In2life
","https://www.in2life.gr/article/2011413/mphkame-sto-neo-ultra-flex-sto-peristeri-kai-akoma-kanoyme-podia-sto-pendulum","https://ultraflexgym.co.uk/locations/ultra-flex-athens/",58,30,5,"ultraflex","2025-09-29","2026-01-01"
14,"Four last minute Christmas gift ideas – all at half price | YorkMix | YorkMix","https://www.yorkmix.com/how-about-four-last-minute-christmas-gift-ideas-all-at-half-price","https://ultraflexgym.co.uk/locations/gym-in-york/",57,30,2,"website","2025-12-12","2025-12-16"
15,"How Well Do You Know Your Gym? Cleanliness & Hygiene - APK Beasts Platform","https://apkbeasts.com/how-well-do-you-know-your-gym-cleanliness-hygiene/","https://ultraflexgym.co.uk/locations/gym-in-york/",56,25,3,"gym in york","2021-07-25","2026-01-01"
